Restaurant Name,Inspection Date,Score,Address,Zip Code,Latitude,Longitude,Facility ID,Process Description
Subway,30-12-14,97,"7020 EASY WIND DR Unit 150, AUSTIN, TX 78757",78757,30.338552,-97.719077,10988259,Routine Inspection
Spring Hill Suites,27-02-14,97,"12520 N IH 35 SVRD SB, AUSTIN, TX 78753",78753,30.406268,-97.675377,2802053,Routine Inspection
Stepping Stone School,17-06-14,85,"12301 HYMEADOW DR, AUSTIN, TX 78750",78750,30.454283,-97.797322,10243103,Routine Inspection
Star Seeds Cafe,28-08-14,85,"3101 N IH 35 SVRD NB, AUSTIN, TX 78722",78722,30.288599,-97.723331,2801964,Routine Inspection
Subway,25-11-14,88,"5608 MANCHACA RD, AUSTIN, TX 78745",78745,30.214931,-97.798379,2801680,Routine Inspection
St. Louis Catholic Church,12-04-14,94,"7601 BURNET RD, AUSTIN, TX 78757",78757,30.353145,-97.732654,2801864,Routine Inspection
Spider House Ballroom,22-07-15,100,"2906 FRUTH ST, AUSTIN, TX 78705",78705,30.295163,-97.741731,10389391,Routine Inspection
Starbucks Coffee #13418,21-04-15,100,"1201 BARBARA JORDAN BLVD Bunit 500, AUSTIN, TX 78723",78723,30.306339,-97.708537,10065891,Routine Inspection
Starbucks Coffee #6284,06-03-15,100,"504 W 24TH ST, AUSTIN, TX 78705",78705,30.287775,-97.742548,2801411,Routine Inspection
St. Mary's Cathederal School,05-05-14,84,"910 SAN JACINTO BLVD, AUSTIN, TX 78701",78701,30.270812,-97.739104,2800606,Routine Inspection
Stepping Stone School XVII,15-04-14,100,"1007 E 40TH ST, AUSTIN, TX 78751",78751,30.297108,-97.719591,10652260,Routine Inspection
Starbucks Coffee #9676,14-11-13,100,"6301 W PARMER LN, AUSTIN, TX 78729",78729,30.445312,-97.743258,2802673,Routine Inspection
Stepping Stone School,19-05-15,96,"9914 WOODLAND VILLAGE DR, AUSTIN, TX 78750",78750,30.455244,-97.793039,10243109,Routine Inspection
Starstop 38,14-11-14,92,"4912 MONTEREY OAKS BLVD, AUSTIN, TX 78749",78749,30.235593,-97.839713,10809127,Routine Inspection
Staybridge Hotel,29-01-15,93,"1611 AIRPORT COMMERCE DR, AUSTIN, TX 78741",78741,30.221809,-97.689793,10193322,Routine Inspection
StarStop 36,05-12-16,99,"7510 N MOPAC EXPY SB, AUSTIN, TX 78731",78731,30.358692,-97.746192,10880409,Routine Inspection
Subs-N-More / AM Petroleum,18-12-15,89,"3926 ED BLUESTEIN BLVD SB, AUSTIN, TX 78721",78721,30.275156,-97.668317,2802112,Routine Inspection
St Andrews Episcopal School,19-11-13,90,"1112 W 31ST ST, AUSTIN, TX 78705",78705,30.301644,-97.748453,2801346,Routine Inspection
Stiles Switch BBQ & Brew,24-07-15,95,"6610 N LAMAR BLVD, AUSTIN, TX 78757",78757,30.334131,-97.721182,10693117,Routine Inspection
Subway,07-07-14,100,"7020 EASY WIND DR Unit 150, AUSTIN, TX 78757",78757,30.338552,-97.719077,10988259,Routine Inspection
Star of Texas Inn,30-04-15,96,"2109 RIO GRANDE ST, AUSTIN, TX 78705",78705,30.284812,-97.744981,10840590,Routine Inspection
Strange Brew,14-01-15,90,"5326 MANCHACA RD, AUSTIN, TX 78745",78745,30.217518,-97.796058,10406269,Routine Inspection
Stepping Stone School,05-05-16,99,"9914 WOODLAND VILLAGE DR, AUSTIN, TX 78750",78750,30.455244,-97.793039,10243109,Routine Inspection
Starbuck's #6388,27-02-15,100,"4006 S LAMAR BLVD SB, AUSTIN, TX 78704",78704,30.237089,-97.791623,2801744,Routine Inspection
Stop-N-Express,28-07-16,87,"5301 MANOR RD, AUSTIN, TX 78723",78723,30.300195,-97.685856,10300378,Routine Inspection
St. Luke Infant Care Center,28-07-16,95,"1611 W 14TH ST, AUSTIN, TX 78703",78703,30.281691,-97.759095,10052358,Routine Inspection
St. Andrew's Episcopal School-Cafeteria,05-08-14,88,"5901 SOUTHWEST PKWY, AUSTIN, TX 78735",78735,30.247106,-97.848037,11021296,Routine Inspection
Spider House,12-04-13,94,"2908 FRUTH ST, AUSTIN, TX 78705",78705,30.295396,-97.741583,2800838,Routine Inspection
Starbucks Coffee #15747,18-12-15,99,"11521 N FM 620 RD Bunit 950, AUSTIN, TX 78726",78726,30.45313,-97.8277,10657955,Routine Inspection
Starbuck's Coffee #6330,20-07-15,100,"2900 W ANDERSON LN, AUSTIN, TX 78757",78757,30.35958,-97.737925,2801336,Routine Inspection
Starbucks Coffee #9617,21-07-14,100,"9600 ESCARPMENT BLVD, AUSTIN, TX 78749",78749,30.20372,-97.87856,2802670,Routine Inspection
Staybridge Suites Holiday Inn,26-09-14,100,"10201 STONELAKE BLVD, AUSTIN, TX 78759",78759,30.393747,-97.739608,2801499,Routine Inspection
St Andrews Episcopal School,30-07-15,100,"1112 W 31ST ST, AUSTIN, TX 78705",78705,30.301644,-97.748453,2801346,Routine Inspection
Starbuck's #6388,08-12-15,97,"4006 S LAMAR BLVD SB, AUSTIN, TX 78704",78704,30.237089,-97.791623,2801744,Routine Inspection
Subway,26-02-15,97,"5419 N IH 35 SVRD NB, AUSTIN, TX 78723",78723,30.314013,-97.707796,2802057,Routine Inspection
Stepping Stone School,11-07-13,100,"8121 SHOAL CREEK BLVD, AUSTIN, TX 78757",78757,30.365588,-97.738944,2801163,Routine Inspection
Starbucks #6374,14-09-15,97,"7301 N FM 620 RD, AUSTIN, TX 78726",78726,30.40541,-97.853164,2801732,Routine Inspection
St. Roch's Bar,21-08-15,93,"515 PEDERNALES ST, AUSTIN, TX 78702",78702,30.258568,-97.714835,10425855,Routine Inspection
