Name,Birthcity,Birthstate,Birthyear,Continent Name,Country Code,Country Name,countryCode3,Dead or Alive,Domain,First Initial,Gender,Industry,Occupation,To,Average Views,En Curid,HPI,L star,LAT,LON,Numlangs,Page Views English,Page Views Non English,Std Dev Page Views,Total Page Views
Livia,Other,,-58,,UNK,Unknown,,Dead,PUBLIC FIGURE,L,Female,COMPANIONS,COMPANION,29,"51,329.10","74,775",25.8770324,7.707077709,41.9,12.5,29,"717,832","770,712","5,075.45","1,488,544"
Charlize Theron,Johannesburg,,1975,Africa,ZA,SOUTH AFRICA,ZAF,Alive,ARTS,C,Female,FILM AND THEATRE,ACTOR,0,"445,516.76","5,132",20.91267584,6.189525539,-26.188333,28.320556,62,"14,527,556","13,094,483","227,524.26","27,622,039"
Cesária Évora,Mindelo,,1941,Africa,CV,CAPE VERDE,CPV,Dead,ARTS,C,Female,MUSIC,SINGER,2011,"42,942.51","8,611,104",23.08611721,9.251755139,16.886,-24.988,51,"738,043","1,452,025","42,904.45","2,190,068"
Umm Kulthum,El Senbellawein,,1904,Africa,EG,EGYPT,EGY,Dead,ARTS,U,Female,MUSIC,SINGER,1975,"31,192.72","214,221",24.03941582,7.981308528,30.879834,31.469479,64,"838,461","1,157,873","17,551.84","1,996,334"
Mariza,Maputo,,1973,Africa,MZ,MOZAMBIQUE,MOZ,Alive,ARTS,M,Female,MUSIC,SINGER,0,"32,927.15","494,073",18.38548749,7.007172818,-25.966667,32.583333,27,"344,275","544,758","2,596.33","889,033"
Miriam Makeba,Johannesburg,,1932,Africa,ZA,SOUTH AFRICA,ZAF,Dead,ARTS,M,Female,MUSIC,SINGER,2008,"129,043.60","598,363",22.46208069,8.702419483,-26.204444,28.045556,45,"2,659,699","3,147,263","415,839.07","5,806,962"
Assia Djebar,Cherchell,,1936,Africa,DZ,ALGERIA,DZA,Dead,HUMANITIES,A,Female,LANGUAGE,WRITER,2015,"19,449.75","1,907,465",22.01011511,6.952051896,36.61,2.196667,28,"135,687","408,906","3,815.73","544,593"
Nadine Gordimer,Springs,,1923,Africa,ZA,SOUTH AFRICA,ZAF,Dead,HUMANITIES,N,Female,LANGUAGE,WRITER,2014,"22,230.51","179,599",24.76004664,9.864711907,-26.254722,28.442778,65,"722,999","721,984","4,213.00","1,444,983"
Ayaan Hirsi Ali,Mogadishu,,1969,Africa,SO,SOMALIA,SOM,Alive,HUMANITIES,A,Female,PHILOSOPHY,PHILOSOPHER,0,"86,077.28","870,045",19.246178,4.534121793,2.033333,45.35,36,"2,047,099","1,051,683","12,090.29","3,098,782"
"Charlene, Princess of Monaco",Bulawayo,,1978,Africa,ZW,Zimbabwe,ZWE,Alive,INSTITUTIONS,C,Female,GOVERNMENT,NOBLEMAN,0,"30,037.03","4,106,584",15.9545463,7.321006021,-20.17,28.58,33,"1,091","990,131","33,961.09","991,222"
Cleopatra III of Egypt,Other,,-161,Africa,EG,Egypt,EGY,Dead,INSTITUTIONS,C,Female,GOVERNMENT,POLITICIAN,-101,"13,561.48","2,016,343",24.57963681,8.467714081,,,27,"163,533","202,627","1,272.59","366,160"
Wangari Maathai,Central Province,,1940,Africa,KE,KENYA,KEN,Dead,INSTITUTIONS,W,Female,GOVERNMENT,POLITICIAN,2011,"35,928.82","1,049,151",23.79359874,8.888365414,-0.75,37,67,"1,089,807","1,317,424","26,883.28","2,407,231"
Ellen Johnson Sirleaf,Monrovia,,1938,Africa,LR,LIBERIA,LBR,Alive,INSTITUTIONS,E,Female,GOVERNMENT,POLITICIAN,0,"25,322.28","2,642,141",22.74249986,7.492868101,6.313333,-10.801389,69,"1,021,451","725,786","27,224.11","1,747,237"
Luisa Diogo,Tete Province,,1958,Africa,MZ,MOZAMBIQUE,MOZ,Alive,INSTITUTIONS,L,Female,GOVERNMENT,POLITICIAN,0,"5,779.97","476,181",19.42191897,11.0516076,-15.5,32.5,29,"63,995","103,624",600.0916698,"167,619"
Joyce Banda,Zomba,,1950,Africa,MW,Malawi,MWI,Alive,INSTITUTIONS,J,Female,GOVERNMENT,POLITICIAN,0,"12,225.42","5,503,425",17.9486213,3.995214824,,,38,"334,746","129,820","14,895.27","464,566"
Ségolène Royal,Dakar,,1953,Africa,SN,Senegal,SEN,Alive,INSTITUTIONS,S,Female,GOVERNMENT,POLITICIAN,0,"65,212.49","563,982",21.89725805,5.428231912,14.723889,-17.489167,61,"1,051,744","2,926,218","76,034.20","3,977,962"
Hagar,Other,,-1800,Africa,EG,Egypt,EGY,Alive,INSTITUTIONS,H,Female,RELIGION,RELIGIOUS FIGURE,0,"30,932.14","307,388",25.82557274,9.45014847,26,30,35,"427,642","654,983","7,876.48","1,082,625"
Catherine of Alexandria,Alexandria,,287,Africa,EG,Egypt,EGY,Dead,INSTITUTIONS,C,Female,RELIGION,RELIGIOUS FIGURE,305,"52,279.20","85,731",26.38654567,9.361172013,31.2,29.916667,46,"1,052,925","1,351,918","14,597.98","2,404,843"
Leymah Gbowee,Monrovia,,1972,Africa,LR,LIBERIA,LBR,Alive,PUBLIC FIGURE,L,Female,ACTIVISM,SOCIAL ACTIVIST,0,"15,306.79","28,418,433",16.0148473,7.648595657,6.313333,-10.801389,38,"314,278","267,380","16,100.05","581,658"
Tiye,Sohag,,-1398,Africa,EG,Egypt,EGY,Dead,PUBLIC FIGURE,T,Female,COMPANIONS,COMPANION,-1338,"21,747.15","156,602",25.02999993,7.102497382,26.566667,31.75,27,"291,399","295,774","2,204.01","587,173"
Nefertiti,Thebes,,-1370,Africa,EG,Egypt,EGY,Dead,PUBLIC FIGURE,N,Female,COMPANIONS,COMPANION,-1330,"130,547.01","90,050",29.57109368,11.6936323,25.720556,32.610278,74,"3,677,405","5,983,074","35,080.21","9,660,479"
Nefertari,Other,,-1290,Africa,EG,Egypt,EGY,Dead,PUBLIC FIGURE,N,Female,COMPANIONS,COMPANION,-1256,"56,219.55","156,607",26.74173229,7.976669803,,,33,"836,883","1,018,362","5,805.98","1,855,245"
Candice Swanepoel,Mooiriver,,1988,Africa,ZA,SOUTH AFRICA,ZAF,Alive,PUBLIC FIGURE,C,Female,MEDIA PERSONALITY,MODEL,0,"251,344.35","14,536,815",15.42059373,4.650815551,-29.2,29.983333,26,"3,989,783","2,545,170","92,375.74","6,534,953"
Tirunesh Dibaba,Bekoji,,1985,Africa,ET,ETHIOPIA,ETH,Alive,SPORTS,T,Female,INDIVIDUAL SPORTS,ATHLETE,0,"18,470.08","2,405,926",13.94475899,7.051283591,7.583333,39.333333,36,"364,662","300,261","16,963.43","664,923"
Caster Semenya,Polokwane,,1991,Africa,ZA,South Africa,ZAF,Alive,SPORTS,C,Female,INDIVIDUAL SPORTS,ATHLETE,0,"113,576.61","24,019,501",13.33785609,4.319595982,-23.9,29.45,28,"2,087,616","1,092,529","92,029.11","3,180,145"
Kirsty Coventry,Harare,,1983,Africa,ZW,ZIMBABWE,ZWE,Alive,SPORTS,K,Female,INDIVIDUAL SPORTS,SWIMMER,0,"21,255.53","915,950",12.93513754,4.436481253,-17.863889,31.029722,30,"431,176","206,490","22,516.24","637,666"
Cara Black,Harare,,1979,Africa,ZW,ZIMBABWE,ZWE,Alive,SPORTS,C,Female,INDIVIDUAL SPORTS,TENNIS PLAYER,0,"19,326.37","2,571,986",15.46964366,5.317922638,-17.863889,31.029722,27,"314,076","207,736","3,073.49","521,812"
Zaha Hadid,Baghdad,,1950,Asia,IQ,Iraq,IRQ,Alive,ARTS,Z,Female,DESIGN,ARCHITECT,0,"89,713.52","513,402",23.75899631,9.118485291,33.333333,44.433333,42,"1,529,931","2,238,037","15,742.31","3,767,968"
Marjane Satrapi,Rasht,,1969,Asia,IR,Iran,IRN,Alive,ARTS,M,Female,DESIGN,COMIC ARTIST,0,"69,797.83","482,729",19.27809164,6.099837028,37.280833,49.583056,29,"967,063","1,057,074","8,332.34","2,024,137"
Rumiko Takahashi,Niigata,,1957,Asia,JP,JAPAN,JPN,Alive,ARTS,R,Female,DESIGN,COMIC ARTIST,0,"118,465.21","26,502",22.81695662,5.125381474,37.916111,139.036389,33,"924,419","2,984,933","8,339.32","3,909,352"
Gong Li,Shenyang,,1965,Asia,CN,China,CHN,Alive,ARTS,G,Female,FILM AND THEATRE,ACTOR,0,"128,985.65","150,071",21.33463258,6.302457804,41.8,123.4,37,"2,603,199","2,169,270","12,816.11","4,772,469"
Zhang Ziyi,Beijing,,1979,Asia,CN,China,CHN,Alive,ARTS,Z,Female,FILM AND THEATRE,ACTOR,0,"175,378.91","72,811",18.90759875,5.74102842,39.916667,116.383333,43,"4,405,404","3,135,889","37,040.80","7,541,293"
Katrina Kaif,Hong Kong,,1984,Asia,CN,China,CHN,Alive,ARTS,K,Female,FILM AND THEATRE,ACTOR,0,"567,013.38","13,951,035",14.63383214,1.43441187,,,32,"17,063,574","1,080,854","178,970.51","18,144,428"
Maggie Cheung,Hong Kong,,1964,Asia,CN,CHINA,CHN,Alive,ARTS,M,Female,FILM AND THEATRE,ACTOR,0,"91,269.31","150,060",19.79412734,4.948092012,22.267,114.188,26,"1,359,573","1,013,429","8,974.81","2,373,002"
Priyanka Chopra,Jamshedpur,,1982,Asia,IN,India,IND,Alive,ARTS,P,Female,FILM AND THEATRE,ACTOR,0,"275,068.90","838,950",15.9309134,1.750143147,22.8,86.3,49,"12,179,961","1,298,415","113,875.38","13,478,376"
Vivien Leigh,Darjeeling,,1913,Asia,IN,India,IND,Dead,ARTS,V,Female,FILM AND THEATRE,ACTOR,1967,"165,971.08","32,788",25.63171967,6.53384647,27.05,88.266667,63,"5,868,924","4,587,254","56,115.57","10,456,178"
Julie Christie,Chabua,,1941,Asia,IN,India,IND,Alive,ARTS,J,Female,FILM AND THEATRE,ACTOR,0,"96,861.02","163,347",23.9021461,4.82271138,27.48,95.18,45,"2,692,121","1,666,625","19,933.46","4,358,746"
Juhi Chawla,Ambala,,1967,Asia,IN,India,IND,Alive,ARTS,J,Female,FILM AND THEATRE,ACTOR,0,"128,468","1,117,493",16.6881447,1.671982793,30.91,75.85,30,"3,521,634","332,406","25,909.14","3,854,040"
Madhuri Dixit,Mumbai,,1967,Asia,IN,India,IND,Alive,ARTS,M,Female,FILM AND THEATRE,ACTOR,0,"218,824.56","19,852",17.11547317,1.597521869,18.975,72.825833,34,"6,864,854","575,181","61,127.10","7,440,035"
Kajol,Mumbai,,1974,Asia,IN,India,IND,Alive,ARTS,K,Female,FILM AND THEATRE,ACTOR,0,"244,413.45","402,850",18.67488693,3.131605495,18.975,72.825833,40,"7,265,825","2,510,713","55,524.25","9,776,538"
Shilpa Shetty,Mangalore,,1975,Asia,IN,India,IND,Alive,ARTS,S,Female,FILM AND THEATRE,ACTOR,0,"192,683.54","18,319,111",15.48150975,1.50740771,12.87,74.88,28,"5,040,086","355,053","30,272.24","5,395,139"
Preity Zinta,Shimla,,1975,Asia,IN,India,IND,Alive,ARTS,P,Female,FILM AND THEATRE,ACTOR,0,"197,209.76","415,405",17.67377979,2.448724293,31.103333,77.172222,42,"6,866,492","1,416,318","50,442.53","8,282,810"
Lara Dutta,Ghaziabad,,1978,Asia,IN,India,IND,Alive,ARTS,L,Female,FILM AND THEATRE,ACTOR,0,"137,744.50","758,530",15.40722301,1.719496089,28.67,77.42,28,"3,488,627","368,219","16,928.97","3,856,846"
Rani Mukerji,Mumbai,,1978,Asia,IN,India,IND,Alive,ARTS,R,Female,FILM AND THEATRE,ACTOR,0,"196,578.40","354,295",17.11683613,2.402025967,18.975,72.825833,43,"6,947,821","1,505,050","58,865.20","8,452,871"
Bipasha Basu,New Delhi,,1979,Asia,IN,India,IND,Alive,ARTS,B,Female,FILM AND THEATRE,ACTOR,0,"190,047.80","1,379,789",15.32280763,1.713581784,28.613889,77.208889,30,"5,157,427","544,007","36,465.77","5,701,434"
Kareena Kapoor,Mumbai,,1980,Asia,IN,India,IND,Alive,ARTS,K,Female,FILM AND THEATRE,ACTOR,0,"377,124","427,018",16.02828739,1.746322015,18.975,72.825833,40,"13,603,280","1,481,680","149,614.39","15,084,960"
Freida Pinto,Mumbai,,1984,Asia,IN,India,IND,Alive,ARTS,F,Female,FILM AND THEATRE,ACTOR,0,"314,166.19","19,317,201",16.64735207,3.400210269,18.975,72.825833,37,"8,292,140","3,332,009","129,348.54","11,624,149"
Shohreh Aghdashloo,Tehran,,1952,Asia,IR,Iran,IRN,Alive,ARTS,S,Female,FILM AND THEATRE,ACTOR,0,"59,829.31","486,704",20.13487298,3.256745896,35.696111,51.423056,26,"1,126,815","428,747","7,577.28","1,555,562"
Natalie Portman,Jerusalem,,1981,Asia,IL,Israel,ISR,Alive,ARTS,N,Female,FILM AND THEATRE,ACTOR,0,"583,969.45","38,459",20.61331482,6.299222889,31.783333,35.216667,78,"23,914,348","21,635,269","401,406.89","45,549,617"
Olivia de Havilland,Tokyo,,1916,Asia,JP,JAPAN,JPN,Alive,ARTS,O,Female,FILM AND THEATRE,ACTOR,0,"120,315.47","88,833",23.40046018,3.968565419,35.683333,139.683333,45,"3,714,266","1,699,930","42,554.03","5,414,196"
Joan Fontaine,Tokyo,,1917,Asia,JP,JAPAN,JPN,Dead,ARTS,J,Female,FILM AND THEATRE,ACTOR,2013,"103,268.76","180,982",21.9421461,3.593507895,35.683333,139.683333,38,"2,766,583","1,157,630","68,524.44","3,924,213"
Liv Ullmann,Tokyo,,1938,Asia,JP,JAPAN,JPN,Alive,ARTS,L,Female,FILM AND THEATRE,ACTOR,0,"41,712.82","18,738",23.56159444,7.885036655,35.683333,139.683333,39,"797,952","828,848","7,590.06","1,626,800"
Mayumi Iizuka,Tokyo,,1977,Asia,JP,JAPAN,JPN,Alive,ARTS,M,Female,FILM AND THEATRE,ACTOR,0,"27,714.14","801,552",17.4179739,2.605476212,35.683333,139.683333,35,"94,180","875,815","3,023.29","969,995"
Rinko Kikuchi,Hadano,,1981,Asia,JP,JAPAN,JPN,Alive,ARTS,R,Female,FILM AND THEATRE,ACTOR,0,"159,123.26","7,455,259",16.14731144,3.922261048,35.366667,139.216667,27,"1,995,458","2,300,870","75,510.37","4,296,328"
Michelle Yeoh,Ipoh,,1963,Asia,MY,MALAYSIA,MYS,Alive,ARTS,M,Female,FILM AND THEATRE,ACTOR,0,"171,799.03","147,873",20.87774728,4.767124048,4.5974632,101.0900972,35,"3,759,581","2,253,385","25,973.60","6,012,966"
Isla Fisher,Muscat,,1976,Asia,OM,OMAN,OMN,Alive,ARTS,I,Female,FILM AND THEATRE,ACTOR,0,"472,004.10","745,856",18.19593338,3.153841306,23.61,58.54,30,"10,388,717","3,771,406","106,570.16","14,160,123"
Yoko Ono,Tokyo,,1933,Asia,JP,JAPAN,JPN,Alive,ARTS,Y,Female,FINE ARTS,ARTIST,0,"310,865.06","34,350",25.52668242,5.938751564,35.683333,139.683333,49,"8,272,427","6,959,961","82,913.54","15,232,388"
Vanessa-Mae,Singapore,,1978,Asia,SG,Singapore,SGP,Alive,ARTS,V,Female,MUSIC,MUSICIAN,0,"85,717.65","407,748",18.60243422,8.43726308,1.3,103.8,34,"1,281,751","1,632,649","13,841.80","2,914,400"
Safura Alizadeh,Other,,1992,Asia,AZ,Azerbaijan,AZE,Alive,ARTS,S,Female,MUSIC,SINGER,0,"13,034.81","26,403,197",12.59633544,7.997406502,40.395278,49.882222,32,"179,018","238,096","9,794.29","417,114"
Nigar Jamal,Baku,,1980,Asia,AZ,AZERBAIJAN,AZE,Alive,ARTS,N,Female,MUSIC,SINGER,0,"17,099.85","30,832,774",13.77672058,7.46787514,40.395278,49.882222,26,"181,870","262,726","20,652.49","444,596"
Aysel Teymurzadeh,Baku,,1989,Asia,AZ,AZERBAIJAN,AZE,Alive,ARTS,A,Female,MUSIC,SINGER,0,"23,199.19","21,132,052",13.27391847,6.933445068,40.395278,49.882222,27,"297,863","328,515","12,742.64","626,378"
Ivi Adamou,Ayia Napa,,1993,Asia,CY,CYPRUS,CYP,Alive,ARTS,I,Female,MUSIC,SINGER,0,"18,628.53","25,571,583",12.14819912,7.044661148,34.98,34,30,"257,092","301,764","17,993.34","558,856"
Katie Melua,Kutaisi,,1984,Asia,GE,Georgia,GEO,Alive,ARTS,K,Female,MUSIC,SINGER,0,"127,300.83","663,508",18.02818423,6.60913977,42.25,42.7,36,"2,142,400","2,440,430","17,756.05","4,582,830"
Anggun,Jakarta,,1974,Asia,ID,INDONESIA,IDN,Alive,ARTS,A,Female,MUSIC,SINGER,0,"68,909.79","1,345,259",17.78040236,5.852775133,-6.2,106.816667,33,"764,796","1,509,227","29,279.82","2,274,023"
Lata Mangeshkar,Indore,,1929,Asia,IN,India,IND,Alive,ARTS,L,Female,MUSIC,SINGER,0,"130,628.84","222,789",20.65386853,1.779853337,22.7,75.9,31,"3,654,613","394,881","32,099.14","4,049,494"
Ofra Haza,Tel Aviv,,1957,Asia,IL,Israel,ISR,Dead,ARTS,O,Female,MUSIC,SINGER,2000,"91,383.25","66,970",22.40950916,8.087366798,32.066667,34.8,28,"1,134,118","1,424,613","5,241.92","2,558,731"
Dana International,Israel,,1972,Asia,IL,Israel,ISR,Alive,ARTS,D,Female,MUSIC,SINGER,0,"55,391.11","233,203",18.55672572,9.311595666,32.066667,34.8,36,"773,331","1,220,749","22,879.00","1,994,080"
Ayumi Hamasaki,Fukuoka,,1978,Asia,JP,JAPAN,JPN,Alive,ARTS,A,Female,MUSIC,SINGER,0,"304,254.44","173,061",19.8213991,4.165429078,33.583333,130.4,41,"3,615,559","8,858,873","56,561.82","12,474,432"
Kumi Koda,Kyoto,,1982,Asia,JP,JAPAN,JPN,Alive,ARTS,K,Female,MUSIC,SINGER,0,"228,692.11","1,600,453",17.301132,2.306427797,35.011667,135.768333,28,"664,161","5,739,218","45,749.94","6,403,379"
BoA,Namyangju,,1986,Asia,KR,South Korea,KOR,Alive,ARTS,B,Female,MUSIC,SINGER,0,"244,977.56","261,150",17.78715189,4.501963143,37.633333,127.216667,34,"4,514,463","3,814,774","29,475.57","8,329,237"
Nancy Ajram,Achrafieh,,1983,Asia,LB,LEBANON,LBN,Alive,ARTS,N,Female,MUSIC,SINGER,0,"102,775.75","1,577,615",17.62037048,6.318575899,33.887558,35.520756,40,"1,771,158","2,339,872","28,833.33","4,111,030"
Hande Yener,Istanbul,,1973,Asia,TR,Turkey,TUR,Alive,ARTS,H,Female,MUSIC,SINGER,0,"16,167.44","4,217,140",18.1807371,3.50938722,,,66,"156,458","910,593","7,825.97","1,067,051"
Sezen Aksu,Sarayköy,,1954,Asia,TR,TURKEY,TUR,Alive,ARTS,S,Female,MUSIC,SINGER,0,"57,118.21","845,407",21.53811249,4.418886243,37.926456,28.926664,29,"315,713","1,340,715","6,885.59","1,656,428"
Sertab Erener,Istanbul,,1964,Asia,TR,TURKEY,TUR,Alive,ARTS,S,Female,MUSIC,SINGER,0,"44,963.78","235,460",20.09155628,5.096441075,41.013611,28.955,37,"319,216","1,344,444","9,087.13","1,663,660"
Teresa Teng,Yunlin County,,1953,Asia,TW,Taiwan,TWN,Dead,ARTS,T,Female,MUSIC,SINGER,1995,"143,165.65","450,210",22.2154015,5.569785236,,,26,"1,101,573","2,620,734","20,273.67","3,722,307"
Rebiya Kadeer,Altay,,1947,Asia,CN,China,CHN,Alive,BUSINESS & LAW,R,Female,BUSINESS,BUSINESSPERSON,0,"24,854.36","1,619,115",19.83347601,6.467657481,47.866667,88.116667,28,"274,099","421,823","20,847.28","695,922"
Yingluck Shinawatra,San Kamphaeng,,1967,Asia,TH,Thailand,THA,Alive,BUSINESS & LAW,Y,Female,BUSINESS,BUSINESSPERSON,0,"84,781.90","31,770,637",18.86403838,4.953154547,,,42,"1,391,487","2,169,353","73,544.50","3,560,840"
Kalpana Chawla,Karnal,,1961,Asia,IN,India,IND,Dead,EXPLORATION,K,Female,EXPLORERS,ASTRONAUT,2003,"114,780.75","177,537",18.2948291,2.251621362,29.69,76.98,32,"3,100,427","572,557","31,541.68","3,672,984"
Yi So-yeon,Gwangju,,1978,Asia,KR,South Korea,KOR,Alive,EXPLORATION,Y,Female,EXPLORERS,ASTRONAUT,0,"7,731.33","8,604,960",15.5364136,13.39791089,35.166667,126.916667,30,"67,995","163,945","3,325.51","231,940"
Taslima Nasrin,Mymensingh,,1962,Asia,BD,BANGLADESH,BGD,Alive,HUMANITIES,T,Female,LANGUAGE,WRITER,0,"26,690.29","558,698",18.2466399,3.872142326,24.753889,90.403056,31,"558,230","269,169","4,991.81","827,399"
Arundhati Roy,Assam,,1961,Asia,IN,India,IND,Alive,HUMANITIES,A,Female,LANGUAGE,WRITER,0,"63,180.92","178,759",18.8950508,2.584966018,25.5667,91.8833,38,"1,980,883","419,992","11,313.00","2,400,875"
Kiran Desai,Chandigarh,,1971,Asia,IN,India,IND,Alive,HUMANITIES,K,Female,LANGUAGE,WRITER,0,"19,905.19","4,111,450",16.31980854,2.878929336,28.613889,77.208889,31,"499,950","117,111","1,987.61","617,061"
Doris Lessing,Kermanshah,,1919,Asia,IR,Iran,IRN,Dead,HUMANITIES,D,Female,LANGUAGE,WRITER,2013,"47,498.19","88,893",24.49709593,11.04928753,34.314167,47.065,74,"1,481,192","2,033,674","49,406.14","3,514,866"
Anna Komnene,Istanbul,,1083,Asia,TR,Turkey,TUR,Dead,HUMANITIES,A,Female,LANGUAGE,WRITER,1153,"10,994.82","157,653",25.37579231,16.29324319,41.01224,28.976018,45,"155,270","339,497","2,258.74","494,767"
Marguerite Duras,Ho Chi Minh City,,1914,Asia,VN,Vietnam,VNM,Dead,HUMANITIES,M,Female,LANGUAGE,WRITER,1996,"70,941.40","84,569",25.18377306,7.654714568,10.75,106.666667,40,"665,670","2,171,986","8,333.86","2,837,656"
Khaleda Zia,Dinajpur District,,1945,Asia,BD,Bangladesh,BGD,Alive,INSTITUTIONS,K,Female,GOVERNMENT,POLITICIAN,0,"21,339.08","393,763",19.45136926,3.261196071,,,26,"419,011","135,805","4,991.74","554,816"
Sheikh Hasina,Tungipara Upazila,,1947,Asia,BD,BANGLADESH,BGD,Alive,INSTITUTIONS,S,Female,GOVERNMENT,POLITICIAN,0,"24,057.77","623,439",20.64330886,3.995031092,22.9,89.883333,43,"757,125","277,359","8,600.08","1,034,484"
Empress Dowager Cixi,Beijing,,1835,Asia,CN,China,CHN,Dead,INSTITUTIONS,E,Female,GOVERNMENT,POLITICIAN,1908,"84,471.26","264,799",25.93266219,7.00304463,39.916667,116.383333,66,"1,879,909","3,695,194","30,360.66","5,575,103"
Jiang Qing,Zhucheng,,1914,Asia,CN,China,CHN,Dead,INSTITUTIONS,J,Female,GOVERNMENT,POLITICIAN,1991,"129,517.37","65,378",24.19409154,6.782873892,36,119.416667,27,"1,075,321","2,421,648","18,426.12","3,496,969"
Wu Zetian,Guangyuan,,625,Asia,CN,CHINA,CHN,Dead,INSTITUTIONS,W,Female,GOVERNMENT,POLITICIAN,705,"122,009.16","166,437",26.33924025,7.012473343,32.433333,105.816667,31,"1,102,631","2,679,653","20,582.65","3,782,284"
Nino Burjanadze,Kutaisi,,1964,Asia,GE,Georgia,GEO,Alive,INSTITUTIONS,N,Female,GOVERNMENT,POLITICIAN,0,"11,527.66","377,803",18.30059595,9.95503631,42.25,42.7,29,"138,974","195,328","2,435.00","334,302"
Tamar of Georgia,Mtskheta,,1160,Asia,GE,GEORGIA,GEO,Dead,INSTITUTIONS,T,Female,GOVERNMENT,POLITICIAN,1213,"20,852.81","37,762",23.42183616,5.188762786,41.85,44.716667,32,"225,543","441,747","5,951.52","667,290"
Megawati Sukarnoputri,Yogyakarta,,1947,Asia,ID,INDONESIA,IDN,Alive,INSTITUTIONS,M,Female,GOVERNMENT,POLITICIAN,0,"25,827.88","237,564",22.73826697,6.479490714,-7.801389,110.364444,51,"509,516","807,706","7,549.92","1,317,222"
Indira Gandhi,Allahabad,,1917,Asia,IN,India,IND,Dead,INSTITUTIONS,I,Female,GOVERNMENT,POLITICIAN,1984,"119,306.44","15,179",25.91209208,5.95251871,25.45,81.85,98,"7,591,847","4,100,184","58,306.30","11,692,031"
Pratibha Patil,Nadgaon,,1934,Asia,IN,India,IND,Alive,INSTITUTIONS,P,Female,GOVERNMENT,POLITICIAN,0,"43,597.55","5,604,201",22.93693027,4.336351563,20.901014,76.013965,66,"2,099,507","777,931","22,737.85","2,877,438"
Farah Pahlavi,Tehran,,1938,Asia,IR,Iran,IRN,Alive,INSTITUTIONS,F,Female,GOVERNMENT,POLITICIAN,0,"113,725.93","30,875,988",23.08431826,6.69040435,35.696111,51.423056,27,"1,441,005","1,629,595","26,666.46","3,070,600"
Tzipi Livni,Tel Aviv,,1958,Asia,IL,Israel,ISR,Alive,INSTITUTIONS,T,Female,GOVERNMENT,POLITICIAN,0,"48,228.85","3,218,946",20.3070551,6.924315087,32.066667,34.8,47,"1,166,090","1,100,666","36,119.01","2,266,756"
Roza Otunbayeva,Osh,,1950,Asia,KG,Kyrgyzstan,KGZ,Alive,INSTITUTIONS,R,Female,GOVERNMENT,POLITICIAN,0,"9,853.61","1,632,388",19.61719381,8.584781452,42.874722,74.612222,44,"226,577","206,982","10,395.53","433,559"
Park Geun-hye,Daegu,,1952,Asia,KR,South Korea,KOR,Alive,INSTITUTIONS,P,Female,GOVERNMENT,POLITICIAN,0,"60,784.66","2,354,070",21.1522112,6.711667624,,,47,"816,613","2,040,266","89,197.05","2,856,879"
Sirimavo Bandaranaike,British Ceylon,,1916,Asia,LK,SRI LANKA,LKA,Dead,INSTITUTIONS,S,Female,GOVERNMENT,POLITICIAN,2000,"16,102.26","436,261",22.3111845,6.73032074,6.9,79.9,38,"357,373","254,513","3,064.76","611,886"
Chandrika Kumaratunga,Colombo,,1945,Asia,LK,SRI LANKA,LKA,Alive,INSTITUTIONS,C,Female,GOVERNMENT,POLITICIAN,0,"14,046.39","307,535",20.88841926,5.26942615,6.934444,79.842778,33,"302,694","160,837","2,407.00","463,531"
Benazir Bhutto,Karachi,,1953,Asia,PK,PAKISTAN,PAK,Dead,INSTITUTIONS,B,Female,GOVERNMENT,POLITICIAN,2007,"74,179.77","193,737",22.90894247,5.609689386,24.86,67.01,92,"4,541,941","2,282,598","57,665.21","6,824,539"
Corazon Aquino,Paniqui,,1933,Asia,PH,Philippines,PHL,Dead,INSTITUTIONS,C,Female,GOVERNMENT,POLITICIAN,2009,"59,283.01","279,605",22.97749867,4.771751023,15.666667,120.583333,76,"2,894,837","1,610,672","90,510.34","4,505,509"
Imelda Marcos,Manila,,1929,Asia,PH,PHILIPPINES,PHL,Alive,INSTITUTIONS,I,Female,GOVERNMENT,POLITICIAN,0,"118,998.90","294,934",22.58420788,3.221705241,14.58,121,29,"2,560,096","890,872","15,162.99","3,450,968"
Gloria Macapagal-Arroyo,Manila,,1947,Asia,PH,PHILIPPINES,PHL,Alive,INSTITUTIONS,G,Female,GOVERNMENT,POLITICIAN,0,"50,551.03","190,445",22.70063805,4.283135344,14.6,121.03,60,"1,999,483","1,033,579","17,963.83","3,033,062"
Zenobia,Palmyra,,240,Asia,SY,Syria,SYR,Alive,INSTITUTIONS,Z,Female,GOVERNMENT,POLITICIAN,0,"41,918.18","43,382",25.87679239,7.439742395,34.56,38.267222,34,"640,124","785,094","5,009.65","1,425,218"
Galla Placidia,Istanbul,,392,Asia,TR,Turkey,TUR,Dead,INSTITUTIONS,G,Female,GOVERNMENT,POLITICIAN,450,"24,593.06","12,835",25.8572772,9.812545402,41.01224,28.976018,32,"203,850","583,128","2,437.93","786,978"
Tsai Ing-wen,Pingtung County,,1956,Asia,TW,Taiwan,TWN,Alive,INSTITUTIONS,T,Female,GOVERNMENT,POLITICIAN,0,"24,486.38","4,087,894",18.53970116,3.196035247,,,32,"125,485","658,079","18,756.02","783,564"
