Survey Date,City,Country,TOTAL,Very satisfied,% Very satisfied,Rather satisfied,% Rather satisfied,Rather unsatisfied,% Rather unsatisfied,Not at all satisfied,% Not at all satisfied,Don't know,% Don't know,Total 'Satisfied',% Total 'Satisfied',Total 'Not satisfied',% Total 'Not satisfied'
May-Jun 2015,Roma,Italy,500,23,0.04,130,0.26,189,0.38,135,0.27,23,0.05,153,0.3,324,0.65
Nov-Dec 2012,Torino,Italy,500,89,0.18,230,0.46,114,0.23,43,0.08,24,0.05,319,0.64,157,0.31
May-Jun 2015,Torino,Italy,500,87,0.18,226,0.45,121,0.24,32,0.06,34,0.07,314,0.63,153,0.3
Nov-Dec 2012,Verona,Italy,500,51,0.1,175,0.35,161,0.32,63,0.13,50,0.1,226,0.45,224,0.45
May-Jun 2015,Verona,Italy,502,73,0.14,210,0.42,106,0.21,50,0.1,63,0.13,283,0.56,156,0.31
Nov-Dec 2012,Lefkosia,Cyprus,502,115,0.23,134,0.27,65,0.13,85,0.17,103,0.2,249,0.5,151,0.3
May-Jun 2015,Lefkosia,Cyprus,500,68,0.14,135,0.27,80,0.16,97,0.19,120,0.24,203,0.41,177,0.35
Nov-Dec 2012,Vilnius,Lithuania,501,67,0.13,174,0.35,106,0.21,47,0.1,107,0.21,241,0.48,153,0.31
May-Jun 2015,Vilnius,Lithuania,500,74,0.15,206,0.41,77,0.16,26,0.05,117,0.23,280,0.56,103,0.21
Nov-Dec 2012,Luxembourg,Luxembourg,503,205,0.41,194,0.38,51,0.1,24,0.05,30,0.06,399,0.79,74,0.15
May-Jun 2015,Luxembourg,Luxembourg,501,184,0.36,221,0.44,59,0.12,19,0.04,19,0.04,405,0.8,77,0.16
Nov-Dec 2012,Riga,Latvia,508,143,0.28,268,0.53,47,0.09,23,0.05,27,0.05,411,0.81,70,0.14
May-Jun 2015,Riga,Latvia,501,91,0.18,243,0.49,77,0.15,22,0.04,68,0.14,334,0.67,99,0.19
Nov-Dec 2012,Valletta,Malta,503,99,0.2,86,0.17,70,0.14,120,0.24,128,0.25,185,0.37,190,0.38
May-Jun 2015,Valletta,Malta,510,106,0.21,128,0.25,59,0.12,69,0.13,148,0.29,234,0.46,128,0.25
Nov-Dec 2012,Amsterdam,Netherlands,500,191,0.38,210,0.42,60,0.12,13,0.03,26,0.05,401,0.8,73,0.15
May-Jun 2015,Amsterdam,Netherlands,503,189,0.38,220,0.44,53,0.1,23,0.05,17,0.03,409,0.82,76,0.15
Nov-Dec 2012,Groningen,Netherlands,502,141,0.28,241,0.48,47,0.09,22,0.05,51,0.1,381,0.76,69,0.14
May-Jun 2015,Groningen,Netherlands,500,150,0.3,245,0.49,43,0.09,10,0.02,52,0.1,395,0.79,53,0.11
Nov-Dec 2012,Rotterdam,Netherlands,500,248,0.5,185,0.37,31,0.06,11,0.02,25,0.05,433,0.87,42,0.08
May-Jun 2015,Rotterdam,Netherlands,501,270,0.54,167,0.33,25,0.05,12,0.02,28,0.06,437,0.87,36,0.07
Nov-Dec 2012,Graz,Austria,501,143,0.28,199,0.4,117,0.23,33,0.07,10,0.02,341,0.68,150,0.3
May-Jun 2015,Graz,Austria,501,195,0.39,198,0.4,86,0.17,6,0.01,16,0.03,393,0.79,92,0.18
Nov-Dec 2012,Wien,Austria,503,301,0.6,139,0.28,37,0.07,17,0.03,9,0.02,440,0.88,54,0.1
May-Jun 2015,Wien,Austria,500,360,0.72,117,0.23,13,0.03,5,0.01,5,0.01,478,0.95,18,0.04
Nov-Dec 2012,Oslo,Norway,500,169,0.34,252,0.5,56,0.11,14,0.03,9,0.02,422,0.84,70,0.14
May-Jun 2015,Oslo,Norway,500,213,0.43,228,0.46,43,0.08,9,0.02,7,0.01,441,0.89,52,0.1
Nov-Dec 2012,Bialystok,Poland,500,138,0.28,232,0.46,59,0.12,15,0.03,55,0.11,371,0.74,74,0.15
May-Jun 2015,Bialystok,Poland,503,158,0.32,244,0.49,30,0.06,2,- ,68,0.13,403,0.81,33,0.06
Nov-Dec 2012,Gdansk,Poland,500,141,0.29,236,0.47,56,0.11,21,0.04,46,0.09,377,0.76,77,0.15
May-Jun 2015,Gdansk,Poland,500,150,0.3,248,0.5,42,0.08,13,0.03,47,0.09,397,0.8,56,0.11
Nov-Dec 2012,Krakow,Poland,502,106,0.21,212,0.42,95,0.19,47,0.09,42,0.09,318,0.63,142,0.28
May-Jun 2015,Krakow,Poland,500,143,0.29,267,0.53,39,0.08,15,0.03,36,0.07,410,0.82,54,0.11
Nov-Dec 2012,Warszawa,Poland,500,144,0.29,254,0.51,53,0.11,16,0.03,32,0.06,399,0.8,69,0.14
May-Jun 2015,Warszawa,Poland,500,120,0.24,261,0.52,56,0.11,17,0.04,46,0.09,381,0.76,73,0.15
Nov-Dec 2012,Braga,Portugal,504,38,0.07,260,0.52,101,0.2,25,0.05,80,0.16,298,0.59,126,0.25
May-Jun 2015,Braga,Portugal,503,49,0.1,262,0.52,80,0.16,17,0.03,95,0.19,311,0.62,97,0.19
Nov-Dec 2012,Lisboa,Portugal,500,59,0.12,244,0.49,117,0.23,41,0.08,39,0.08,304,0.61,158,0.31
May-Jun 2015,Lisboa,Portugal,500,46,0.09,223,0.45,129,0.26,52,0.1,50,0.1,269,0.54,181,0.36
Nov-Dec 2012,Lisbon surr.,Portugal,503,70,0.14,246,0.49,97,0.19,42,0.08,48,0.1,316,0.63,139,0.27
May-Jun 2015,Lisbon surr.,Portugal,297,37,0.13,138,0.46,63,0.21,19,0.06,40,0.14,175,0.59,82,0.27
Nov-Dec 2012,Greater Lisbon,Portugal,1003,134,0.13,490,0.49,206,0.21,83,0.08,90,0.09,624,0.62,289,0.29
May-Jun 2015,Greater Lisbon,Portugal,797,92,0.11,365,0.46,179,0.22,61,0.08,100,0.13,457,0.57,240,0.3
Nov-Dec 2012,Bucuresti,Romania,504,48,0.09,196,0.39,115,0.23,54,0.11,91,0.18,245,0.48,168,0.34
May-Jun 2015,Bucuresti,Romania,501,30,0.06,213,0.42,135,0.27,60,0.12,63,0.13,243,0.48,195,0.39
Nov-Dec 2012,Cluj Napoca,Romania,502,114,0.23,235,0.47,69,0.14,21,0.04,62,0.12,349,0.7,91,0.18
May-Jun 2015,Cluj Napoca,Romania,501,110,0.22,239,0.47,53,0.11,8,0.02,91,0.18,348,0.69,62,0.13
Nov-Dec 2012,Piatra Neamt,Romania,503,96,0.19,186,0.37,56,0.11,32,0.06,134,0.27,282,0.56,87,0.17
May-Jun 2015,Piatra Neamt,Romania,500,69,0.14,234,0.47,66,0.13,25,0.05,106,0.21,302,0.61,91,0.18
Nov-Dec 2012,Malmo,Sweden,500,133,0.27,241,0.48,70,0.14,31,0.06,26,0.05,373,0.75,100,0.2
May-Jun 2015,Malmo,Sweden,500,133,0.27,226,0.45,84,0.17,22,0.04,35,0.07,359,0.72,106,0.21
Nov-Dec 2012,Stockholm,Sweden,502,156,0.31,244,0.49,66,0.13,29,0.06,6,0.01,401,0.8,96,0.19
May-Jun 2015,Stockholm,Sweden,503,156,0.31,243,0.48,63,0.13,29,0.06,12,0.02,399,0.79,92,0.19
Nov-Dec 2012,Ljubljana,Slovenia,522,213,0.41,195,0.37,53,0.1,36,0.07,25,0.05,408,0.78,89,0.17
May-Jun 2015,Ljubljana,Slovenia,509,159,0.31,222,0.44,72,0.14,22,0.04,34,0.07,381,0.75,94,0.18
Nov-Dec 2012,Bratislava,Slovakia,500,51,0.1,206,0.41,124,0.25,61,0.12,59,0.12,257,0.51,184,0.37
May-Jun 2015,Bratislava,Slovakia,500,53,0.11,214,0.43,116,0.23,47,0.09,71,0.14,266,0.54,163,0.32
Nov-Dec 2012,Kosice,Slovakia,500,69,0.14,216,0.43,116,0.23,33,0.07,65,0.13,286,0.57,149,0.3
May-Jun 2015,Kosice,Slovakia,501,50,0.1,176,0.35,94,0.19,131,0.26,49,0.1,227,0.45,225,0.45
Nov-Dec 2012,Ankara,Turkey,500,112,0.22,159,0.32,67,0.14,131,0.26,32,0.06,270,0.54,198,0.4
May-Jun 2015,Ankara,Turkey,500,141,0.28,134,0.27,82,0.16,103,0.21,40,0.08,276,0.55,185,0.37
Nov-Dec 2012,Antalya,Turkey,504,137,0.27,131,0.26,50,0.1,135,0.27,51,0.1,268,0.53,184,0.37
