Rank,Company,Total TEU,Total Ships,Total TEU per Ship,Owned TEU,Owned Ships,Owned TEU per Ship, % Owned ,Chartered TEU,Chartered Ships,Chartered TEU per Ship,% Chartered,Orderbook TEU,Orderbook Ships,% Orderbook,
81,Samskip,7727,11,702,3942,5,788,51.0%,3785,6,631,49.0%,0,0,0.0%,
82,Great Southern Shipping,7520,3,2507,0,0,0,0.0%,7520,3,2507,100.0%,0,0,0.0%,
83,Philippines Span Asia Carrier Corp.,7173,16,448,7173,16,448,100.0%,0,0,0,0.0%,0,0,0.0%,
84,Caraka Tirta Perkasa,7167,10,717,6937,9,771,96.8%,230,1,230,3.2%,0,0,0.0%,
85,Oceanic Cargo Lines,6888,18,383,6888,18,383,100.0%,0,0,0,0.0%,0,0,0.0%,
86,Marguisa,6771,4,1693,0,0,0,0.0%,6771,4,1693,100.0%,0,0,0.0%,
87,Tianjin Marine Shg Co,6644,4,1661,6644,4,1661,100.0%,0,0,0,0.0%,0,0,0.0%,
88,EAS Datong,6616,6,1103,3578,3,1193,54.1%,3038,3,1013,45.9%,0,0,0.0%,
89,SASCO (Sakhalin Shipping Co),6250,12,521,5930,11,539,94.9%,320,1,320,5.1%,0,0,0.0%,
90,Goto Shipping,6137,6,1023,0,0,0,0.0%,6137,6,1023,100.0%,0,0,0.0%,
91,Kambara Kisen,5910,7,844,2947,3,982,49.9%,2963,4,741,50.1%,0,0,0.0%,
92,Vinalines,5847,9,650,5847,9,650,100.0%,0,0,0,0.0%,0,0,0.0%,
93,Tarros,5547,4,1387,0,0,0,0.0%,5547,4,1387,100.0%,0,0,0.0%,
94,Pan Continental Shg,5196,6,866,5196,6,866,100.0%,0,0,0,0.0%,1800,1,34.6%,
95,ADNATCO,5000,4,1250,2120,2,1060,42.4%,2880,2,1440,57.6%,0,0,0.0%,
96,Portline,4989,4,1247,600,1,600,12.0%,4389,3,1463,88.0%,0,0,0.0%,
97,Admiral Feeder Line,4739,7,677,4319,5,864,91.1%,420,2,210,8.9%,0,0,0.0%,
98,Shin Yang Shipping Sdn Bhd,4654,13,358,4654,13,358,100.0%,0,0,0,0.0%,0,0,0.0%,
99,Interasia Line,4608,3,1536,1008,1,1008,21.9%,3600,2,1800,78.1%,0,0,0.0%,
100,Asean Seas Line,4537,7,648,0,0,0,0.0%,4537,7,648,100.0%,0,0,0.0%,
