Country,Item,Metric,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"China, Taiwan Province of",Peaches and nectarines,Production (tonnes),2367,2346,2931,2722,3304,2985,3340,4113,3824,3736,5235,6486,6506,6580,6796,12067,13979,10905,16528,15198,14871,12690,10506,15192,17273,18630,21404,20916,27877,29140,29085,27069,28571,37605,21877,26413,30129,27215,23395,24919,24267,29366,31265,29482,25468,28508,28435,29329,28838,28348,29719,27600
Colombia,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300,4036,5351,4981,6027,6029,8554,12933,10917,15779,20028,18476,19849,20174
Croatia,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5764,6945,7172,4878,8098,6836,8813,10211,9330,9046,10120,6631,9464,7110,6943,6135,7348,10110,8914,11824,6150
Cyprus,Peaches and nectarines,Production (tonnes),375,406,508,508,538,1016,2235,2032,1828,2540,3556,3759,3352,2336,2540,2743,2438,1829,2032,1626,1372,1626,1700,1000,1200,1000,600,1200,1300,1500,1600,2000,2100,1900,2250,2400,2500,3000,2900,3500,2800,4000,3800,4015,4030,4000,4111,4153,4001,3532,3013,2957
Czech Republic,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11011,8560,12078,7975,7263,8210,6932,11197,4764,9196,9090,8288,4861,3541,3587,3730,3183,1802,2091,1561
Czechoslovakia,Peaches and nectarines,Production (tonnes),4534,2555,3069,2902,3073,5634,5859,5924,10822,12685,8447,11139,14210,12749,8185,9700,9819,16536,4482,18556,5771,18872,18939,16439,5062,19371,6816,15114,26956,21782,14562,22285,,,,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,Peaches and nectarines,Production (tonnes),15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,40000,40000,45000,43000,45000,46000,50000,56000,60000,63000,68000,70000,75000,83000,85000,90000,95000,98000,100000,105000,110000,105000,100000,110000,100000,101219,105000,116194,110000,107387,115000,122000,141601,160416,124000,120000,131625,138547,147061,118172,116000,118500
Ecuador,Peaches and nectarines,Production (tonnes),7677,7000,5595,5664,2967,2943,1685,3475,2489,2500,2599,2902,3101,2838,3119,4691,2500,2222,2789,2979,3153,3041,3200,3047,3321,3359,3440,3824,3189,4323,6380,8873,6322,13525,13916,13220,23148,13052,14324,18363,13776,16857,4011,2253,6947,7000,7200,7300,8000,8282,7826,8000
Egypt,Peaches and nectarines,Production (tonnes),3498,4173,5291,5586,5172,8204,9597,14000,14000,10000,14000,10000,11000,9700,10400,10169,10437,11027,9798,9752,11499,9000,11000,13000,13000,31000,32000,33000,33000,37442,52381,105000,159000,213000,267000,321000,376969,429853,301191,240193,247300,339266,302667,360937,360000,427639,425273,399416,363209,273256,332487,285194
Ethiopia,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,19,20,30,40,50,60,70,80,90,100,109,110,110,112,149,146,150
